sentencas,nenhum,adm-publica,agricultura-pecuaria-pesca-extrativismo,arte-cultura-religiao,cidades-desenvolvimento-urbano,ciencia-tecnologia-inovacao,ciencias-exatas,ciencias-sociais,comunicacoes,defesa-seguranca,direito-civil,direito-constitucional,direito-consumidor,direito-justica,direito-penal,direitos-humanos-minorias,economia,educacao,energia-recursos-hidricos-minerais,esporte-lazer,estrutura-fundiaria,financas-publicas-orcamento,homenagens-datas-comemorativas,industria-comercio-servicos,meio-ambiente-desenvolvimento-sustentavel,politica-partidos-eleicoes,previdencia-assistencia-social,processo-legislativo-atuacao-parlamentar,relacoes-internacionais-comercio-exterior,saude,trabalho-emprego,turismo,viacao-transporte-mobilidade,impeachment,corrupção,serviço-público,reforma-política,eleição
"Nós não podemos ficar reféns de correntes que acham que podem falar muito, mas não respeitam o direito do outro de também expressar o seu pensamento.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Isso vai diminuindo o tamanho da economia e, consequentemente, também a capacidade do Governo de arrecadar e, ao mesmo tempo, de repassar para os Estados e Municípios brasileiros aquilo que lhes é mais importante no subsídio, no lastreamento, inclusive, das suas ações, principalmente nos Municípios, em que reside a população brasileira e em que mais se tem demanda na vida, na perspectiva do seu exercício pleno de cidadania.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Para isso, será permitida às empresas que aderirem ao programa a redução da jornada de trabalho e de salários em até %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
"Logo, como nós estamos evoluindo, valorizando os bons jovens brasileiros para irem às urnas e serem representantes, quer no Legislativo, quer no Executivo, indiretamente, o PSOL e o PT acabam de me dizer que vão votar conosco a redução da maioridade.",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para que todos entendam, o PSOL, por exemplo, tem um candidato, o Deputado Estadual Marcelo Freixo, com % nas pesquisas no Rio de Janeiro.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
sr Presidente.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ou seja, ele está criando um órgão inconstitucional, dando-lhe o direito de investigar, requisitar investigação, ignorando que a Polícia Civil, a Polícia Militar e os Bombeiros de Brasília são órgãos constitucionais, em que não se pode mexer senão por lei votada e aprovada pelo Congresso Nacional.",,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porém, num outro recente episódio de ódio contra Stedile, quando circulou nas redes sociais um cartaz em que se oferecia uma recompensa por ele vivo ou morto"", já alertávamos que a dimensão desses acontecimentos advém, sobretudo, de uma mídia partidarizada, manipuladora e que distorce e esconde informações, ao mesmo tempo em que promove o ódio e o preconceito contra os que pensam de modo diferente.",,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como todos sabemos, para atender à demanda e serem disponibilizados nos supermercados, os grãos, frutas, hortaliças e cereais precisam ser cultivados em extensas áreas de terra, ocupando solo fértil e consumindo nutrientes e defensivos, além do esforço humano e de combustíveis, tanto na produção como no transporte.",,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
"Ainda bem que o Governo da Presidente Dilma anunciou hoje que vai mandar para cá um projeto de lei para incriminar esses que escondem a cara, com vergonha, para praticar atos de violência, para depredar, para manchar o nome dos movimentos sociais do País.",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Nós esperamos que efetivamente haja uma nova discussão sobre a importância da segurança nos veículos e também sobre a garantia do emprego, o que, para nós, sr Presidente, é de extrema importância.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
"Muito obrigado, nobre Deputada Jô Moraes.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Queremos incentivar, além da formalização dos empregos, a melhoria da segurança dos usuários.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
"Àqueles que estão entendendo que apenas reduzir a maioridade penal de  para  anos vai resolver o problema de segurança do País, digo que estão equivocados.",,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Uma das primeiras medidas que ele tomou foi sancionar a lei que tira da PETROBRAS o direito de ser a operadora única do pré-sal.,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
"O Governo Federal precisa tomar atitudes enérgicas em favor dos mais de  mil brasileiros que, para sobreviverem, dependem dos salários recebidos pelos  mil pais e mães de família, colaboradores do HSBC.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A meu ver a medida mais positiva que adotamos foi a aprovação do fim da reeleição, que para começar a valer ainda precisa passar novamente na Câmara e depois duas vezes no Senado.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Prezados agentes de saúde e agentes de combate às endemias que estão assistindo a esta sessão pela TV Câmara , o compromisso do Partido da Social Democracia Brasileira com a saúde pública e, em especial, com esses valorosos profissionais foi semeado no Estado do Ceará.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Não podemos deixar da forma como está.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente; sr Deputadas; sr Deputados; senhoras e senhores aqui presentes; crianças, jovens, senhoras senhores e pessoas com deficiência que me ouvem pela Rádio Câmara , me veem pela TV Câmara e me leem Internet e pelas redes sociais e, inclusive, me acompanham pela Língua Brasileira de Sinais - LIBRAS, em particular os ilustres cidadãos do meu Estado, Rio de Janeiro, que tenho o orgulho de aqui representar, quero usar da tribuna desta egrégia Casa de Leis para me posicionar completamente favorável à aprovação das Propostas de Emenda à Constituição nºs , de , e , de , as quais preveem autonomia administrativa, orçamentária e técnica à advocacia pública federal e equiparação dos subsídios dos advogados públicos federais aos patamares já alcançados pelo MPF e DPU, pautas que integram o Movimento de Valorização da Advocacia Pública Federal.",,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
"Em , no exercício da presidência da Comissão de Defesa do Consumidor , empreendi todos os esforços necessários para assegurar que aquele colegiado continuasse a ocupar o lugar de destaque como protagonista das mudanças que a sociedade moderna de consumo reclama.",,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,
Esta é a minha posição.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por exemplo, sr Presidente, para ilustrar para aqueles que nos assistem e nos ouvem: das emendas parlamentares de bancada, eu coloquei para este ano um valor de  milhões de reais para a aquisição de ônibus escolares, ônibus que vão levar os nossos jovens dos cantos mais distantes das cidades para a escola, ônibus que vão garantir o ensino, o transporte seguro, o transporte saudável.",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,
"Uma das obras mais impactantes é a duplicação da BR , entre os Municípios de Guaíba e Pelotas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
"Vamos elaborar e votar um novo marco regulatório para a mineração brasileira, pois a legislação que regula a atividade, assim como a legislação portuária, é arcaica, carece de modernização.",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
"sr Presidente, na terça-feira, v.exa sabe, votamos aqui os vetos presidenciais - ou pelo menos tentamos votar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"Desde , sr Presidente, a CODEVASF investe cerca de R$ , bilhões em ações de implantação, ampliação ou melhoria de sistemas públicos de esgotamento sanitário; ligações intradomiciliares; recuperação e controle de processos erosivos; coleta, tratamento e destinação de resíduos sólidos; abastecimento público de água em comunidades ribeirinhas e implantação de Centros Integrados de Recursos Pesqueiros e Aquicultura.",,x,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"Muito obrigado, Presidente.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porque é impossível deixar para trás aqueles que nos marcaram e que, enfim, nos ensinaram a ser quem somos.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O fundamentalismo religioso considerou Jesus um escândalo e o matou, assim fazendo em nome de Deus.",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A intenção de retornar a Pernambuco no mesmo período, nos anos seguintes, é de %.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
